LAT,LON,ALT,label_numeric
44.985435,4.226421,1181.0,['4']
45.010014,4.3950486,1066.0,['4']
45.04719,4.2447343,1027.0,['4']
45.051365,4.33872,1005.0,['4']
45.06081,4.302941,961.0,['2']
45.116135,4.289156,849.0,['2']
