Source,Target,X_Coord_Source,Y_Coord_Source,Z_Coord_Source,X_Coord_Target,Y_Coord_Target,Z_Coord_Target,DistanceKM,BookID,LocationSentence
La Guespy,La Guespy,4.312919,45.062374,1006,4.312919,45.062374,1006,0,Bohny_50.030.0031_Plateau_Rescuer,8
La Guespy,La Guespy,4.312919,45.062374,1006,4.312919,45.062374,1006,0,Bohny_50.030.0031_Plateau_Rescuer,8
La Guespy,Le Chambon-sur-Lignon,4.312919,45.062374,1006,4.302941,45.06081,961,0.802758495,Bohny_50.030.0031_Plateau_Rescuer,8
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,9
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,9
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,9
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,14
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,14
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,14
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,15
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,15
Le Chambon-sur-Lignon,L'Abric,4.302941,45.06081,961,4.311144,45.06056,997,0.644891539,Bohny_50.030.0031_Plateau_Rescuer,15
L'Abric,L'Abric,4.311144,45.06056,997,4.311144,45.06056,997,0,Bohny_50.030.0031_Plateau_Rescuer,23
L'Abric,L'Abric,4.311144,45.06056,997,4.311144,45.06056,997,0,Bohny_50.030.0031_Plateau_Rescuer,23
L'Abric,L'Abric,4.311144,45.06056,997,4.311144,45.06056,997,0,Bohny_50.030.0031_Plateau_Rescuer,23
L'Abric,L'Abric,4.311144,45.06056,997,4.311144,45.06056,997,0,Bohny_50.030.0031_Plateau_Rescuer,23
