"CD_AnnotatedMembers","CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","name","selected","shared name"
,"0.0","0.0","0",,"false","L'Abric La Guespy","1.0","2","C1452","false","C1452"
,"0.0","0.0","0",,"false","College Cevenol L'Abric La Fayolle La Guespy Le Chambon-sur-Lignon Les Grillons Maison des Roches Plateau Vivarais","3.0","8","C1454","false","C1454"
,"0.0","0.0","0",,"false","Maison des Roches","0.0","1","C1453","false","C1453"
,"0.0","0.0","0",,"false","College Cevenol La Fayolle Le Chambon-sur-Lignon Les Grillons Plateau Vivarais","2.322","5","C1451","false","C1451"
