__APCluster,AverageShortestPathLength,Betweenness(Weight),BetweennessCentrality,Closeness(Weight),ClosenessCentrality,ClusteringCoefficient,Degree(Weight),Eccentricity,EdgeCount,Eigenvector(Weight),Indegree,Information(Weight),IsSingleNode,LACW(Weight),name,NeighborhoodConnectivity,Network(Weight),Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress,Subgragh(Weight),X_Coord,Y_Coord,Z_Coord
1,1.714285714,0,0,3.375868842,0.583333333,1,338,2,6,0.035110936,3,104.2482529,FALSE,2173.6,College Cevenol,5,8.774424988,3,2,FALSE,1,College Cevenol,0,Infinity,4.303929,45.06096,961
1,1.142857143,39,3.607142857,3.441025211,0.875,0.119047619,4992,2,15,0.999295533,8,18.42027092,FALSE,543,Le Chambon-sur-Lignon,2.142857143,65.12550133,7,6,FALSE,1,Le Chambon-sur-Lignon,205,Infinity,4.302941,45.06081,961
1,1.571428571,5,0.678571429,3.144541092,0.636363636,0.333333333,451,2,7,0.005915257,3,18.88584328,FALSE,1794.666667,Les Grillons,3.666666667,15.99708343,4,2,FALSE,1,Les Grillons,38,Infinity,4.326289,45.07128,1067
2,1.857142857,0,0,3.025337624,0.538461538,1,109,3,6,0.00206097,3,-27.92625046,FALSE,1935.4,L'Abric,5.5,15.82060067,3,2,FALSE,1,L'Abric,0,Infinity,4.311144,45.06056,997
1,1.857142857,7,0.339285714,3.265454711,0.538461538,0.333333333,259,3,8,0.004866324,5,26.42592239,FALSE,1406.428571,La Guespy,3.25,16.40393824,3,2,FALSE,1,La Guespy,20,Infinity,4.312919,45.062374,1006
1,2,0,0,2.644725567,0.5,0,20,3,2,0.002238427,1,3.219680786,FALSE,4458,La Fayolle,7,22.22523833,1,1,FALSE,0,La Fayolle,0,Infinity,4.28556,45.0535,1002
1,1.857142857,0,0,3.225228937,0.538461538,1,128,3,5,0.010380678,2,30.72718239,FALSE,2377,Plateau Vivarais,5.5,11.81476922,3,1,FALSE,1,Plateau Vivarais,0,Infinity,4.302941,45.06081,961
3,2.428571429,1,0.035714286,0.854267917,0.411764706,0,11,3,4,2.39E-06,2,-23.61610413,FALSE,184.6666667,Maison des Roches,3.5,11.19534366,2,0,FALSE,1,Maison des Roches,4,Infinity,4.321041,45.05262,959
2,2,0,0,0.857919104,0.5,0,1,3,1,2.24E-04,0,2.253434181,FALSE,4458,Les Tavas,7,0,1,0,FALSE,0,Les Tavas,0,Infinity,4.33872,45.051365,1005
