SourceID,TargetID,Observed,Predicted,Residual
1,2,0.0,7.784157389886429,-7.784157389886429
1,4,0.0,25.3630656412282,-25.3630656412282
1,5,359.0,603.4002569938231,-244.40025699382306
1,6,49.0,37.4427432100486,11.557256789951403
1,8,0.0,0.36803615102096454,-0.36803615102096454
2,4,118.0,81.58123918279495,36.418760817205055
2,5,65.0,28.268930395166553,36.73106960483345
2,8,1.0,0.005079715230185886,0.9949202847698141
3,5,20.0,13.019072405891462,6.980927594108538
3,8,0.0,0.002286981475972292,-0.002286981475972292
4,6,0.0,15.218871093828351,-15.218871093828351
4,8,1.0,0.04717510476514394,0.952824895234856
5,8,0.0,0.550077014893575,-0.550077014893575
6,7,0.0,0.42393231047344704,-0.42393231047344704
6,8,1.0,0.5163661049415026,0.4836338950584974
7,8,1.0,0.020040097153585543,0.9799599028464144
