SourceID,TargetID,Observed,Predicted,Residual
1,2,0,20.23920472,-20.23920472
1,4,0,23.8964767,-23.8964767
1,5,359,414.3194049,-55.31940494
1,6,49,19.8707138,29.1292862
2,4,118,80.9877222,37.0122778
2,5,65,38.4479357,26.5520643
2,8,1,3.045885255,-2.045885255
3,5,20,13.64423897,6.355761025
3,8,0,0.004875952,-0.004875952
4,6,0,25.33060805,-25.33060805
4,8,1,0.862001273,0.137998727
5,8,0,0.729853903,-0.729853903
6,7,0,0.023651382,-0.023651382
6,8,1,0.012658128,0.987341872
7,8,1,0.000344347,0.999655653
