Predictor,Estimate,PermP
Intercept,124.46108640670451,0.39272145570885825
Pct_Water,-2.166169918182125,0.4497100579884023
Pct_Agricultural,-1.3017165019437034,0.3929214157168566
Pct_ForestScrub,-1.3438152813400113,0.39372125574885025
Pct_RoadsBldgs,-1.2974939538184387,0.3807238552289542
Slope_Mean,-0.07446449030571567,0.8910217956408718
