SourceID,TargetID,Observed,Predicted,Residual
1,2,0.0,22.094581864982523,-22.094581864982523
1,4,0.0,47.43009512187491,-47.43009512187491
1,5,359.0,1166.4684773745896,-807.4684773745896
1,6,49.0,28.52788715469406,20.47211284530594
2,4,118.0,43.52879566201989,74.47120433798011
2,5,65.0,48.481578879515105,16.518421120484895
2,8,1.0,0.899410136569112,0.10058986343088805
3,5,20.0,17.19423011386862,2.8057698861313796
3,8,0.0,0.030211727072322152,-0.030211727072322152
4,6,0.0,32.39559357976228,-32.39559357976228
4,8,1.0,0.9456065569536916,0.05439344304630844
5,8,0.0,0.09179530551393095,-0.09179530551393095
6,7,0.0,0.05568063093094542,-0.05568063093094542
6,8,1.0,0.33158592840957246,0.6684140715904275
7,8,1.0,0.0009813559477772275,0.9990186440522227
