id;Class;Level;Area (km²)
117;Agricultural;Refinement3_Edited;0.02019448621
118;Agricultural;Refinement3_Edited;0.0003093047099
119;Forest/Scrub;Refinement3_Edited;0.002219124028
120;Forest/Scrub;Refinement3_Edited;9.517067998e-05
121;Forest/Scrub;Refinement3_Edited;0.0002635495753
122;Buildings/Urban;Refinement3_Edited;0.007825958223
123;Forest/Scrub;Refinement3_Edited;0.0003550598445
124;Roads/Railroad;Refinement3_Edited;0.001340625444
125;Buildings/Urban;Refinement3_Edited;0.002877082864
126;Agricultural;Refinement3_Edited;0.001860403773
127;Buildings/Urban;Refinement3_Edited;0.0006341661656
128;Buildings/Urban;Refinement3_Edited;0.002063556571
129;Forest/Scrub;Refinement3_Edited;0.0005984771606
130;Agricultural;Refinement3_Edited;0.01587794681
131;Buildings/Urban;Refinement3_Edited;0.001471485129
132;Buildings/Urban;Refinement3_Edited;0.03129651207
133;Agricultural;Refinement3_Edited;0.0002946630669
134;Agricultural;Refinement3_Edited;0.0003934941576
135;Agricultural;Refinement3_Edited;0.001026745221
136;Agricultural;Refinement3_Edited;0.000540825691
137;Forest/Scrub;Refinement3_Edited;0.0007833279044
138;Roads/Railroad;Refinement3_Edited;0.001497108004
139;Forest/Scrub;Refinement3_Edited;0.000407220698
140;Agricultural;Refinement3_Edited;0.003631127482
141;Forest/Scrub;Refinement3_Edited;0.0005078819941
142;Forest/Scrub;Refinement3_Edited;4.209472384e-05
143;Buildings/Urban;Refinement3_Edited;0.000588411031
144;Agricultural;Refinement3_Edited;0.127
145;Buildings/Urban;Refinement3_Edited;0.003274237432
146;Buildings/Urban;Refinement3_Edited;0.001772553915
147;Agricultural;Refinement3_Edited;0.007051781345
148;Agricultural;Refinement3_Edited;0.003561579678
149;Forest/Scrub;Refinement3_Edited;0.004225029129
150;Agricultural;Refinement3_Edited;0.009859316405
151;Agricultural;Refinement3_Edited;0.004746637664
152;Forest/Scrub;Refinement3_Edited;0.0001445862254
153;Forest/Scrub;Refinement3_Edited;0.0002223699542
154;Buildings/Urban;Refinement3_Edited;0.00281119547
155;Agricultural;Refinement3_Edited;0.0001976621815
156;Forest/Scrub;Refinement3_Edited;0.0001043217069
157;Forest/Scrub;Refinement3_Edited;0.0001738695115
158;Forest/Scrub;Refinement3_Edited;0.0001363503011
159;Forest/Scrub;Refinement3_Edited;0.001414748762
160;Forest/Scrub;Refinement3_Edited;0.0002955781695
161;Agricultural;Refinement3_Edited;0.0006076281876
162;Forest/Scrub;Refinement3_Edited;0.003490201668
163;Roads/Railroad;Refinement3_Edited;8.693475575e-05
164;Agricultural;Refinement3_Edited;0.0003303520718
165;Forest/Scrub;Refinement3_Edited;0.0008043752664
166;Agricultural;Refinement3_Edited;0.0007613654398
167;Forest/Scrub;Refinement3_Edited;0.0001857658465
168;Forest/Scrub;Refinement3_Edited;0.0003642108715
169;Agricultural;Refinement3_Edited;0.000252568343
170;Agricultural;Refinement3_Edited;0.0247471221
171;Roads/Railroad;Refinement3_Edited;0.116
172;Agricultural;Refinement3_Edited;7.869883152e-05
173;Roads/Railroad;Refinement3_Edited;0.0001107274257
174;Forest/Scrub;Refinement3_Edited;0.005724882442
175;Forest/Scrub;Refinement3_Edited;0.0002928328615
176;Forest/Scrub;Refinement3_Edited;0.0001473315334
177;Forest/Scrub;Refinement3_Edited;0.0002489079323
178;Agricultural;Refinement3_Edited;0.07863568943
179;Agricultural;Refinement3_Edited;0.1403356
180;Agricultural;Refinement3_Edited;0.02637417469
181;Buildings/Urban;Refinement3_Edited;0.002402144567
182;Forest/Scrub;Refinement3_Edited;9.425557729e-05
183;Forest/Scrub;Refinement3_Edited;0.0007503842075
184;Agricultural;Refinement3_Edited;0.001212511067
185;Agricultural;Refinement3_Edited;0.0001153029392
186;Forest/Scrub;Refinement3_Edited;0.0005216085345
187;Buildings/Urban;Refinement3_Edited;0.00337215342
188;Agricultural;Refinement3_Edited;0.002063556571
189;Forest/Scrub;Refinement3_Edited;9.700088536e-05
190;Agricultural;Refinement3_Edited;0.004104235574
191;Agricultural;Refinement3_Edited;0.0005115424049
192;Forest/Scrub;Refinement3_Edited;0.01440280127
193;Forest/Scrub;Refinement3_Edited;0.008450058259
194;Forest/Scrub;Refinement3_Edited;0.0003797676172
195;Agricultural;Refinement3_Edited;0.09774303365
196;Forest/Scrub;Refinement3_Edited;0.06912594226
197;Buildings/Urban;Refinement3_Edited;0.03642291735
198;Agricultural;Refinement3_Edited;0.001148453879
199;Agricultural;Refinement3_Edited;0.001024915015
200;Agricultural;Refinement3_Edited;0.001069755047
201;Forest/Scrub;Refinement3_Edited;0.01735949807
202;Forest/Scrub;Refinement3_Edited;0.0001564825603
203;Agricultural;Refinement3_Edited;0.001017594194
204;Roads/Railroad;Refinement3_Edited;0.0009077818706
205;Water;Refinement3_Edited;0.005594022757
206;Forest/Scrub;Refinement3_Edited;0.006165046837
207;Buildings/Urban;Refinement3_Edited;0.000888564714
208;Buildings/Urban;Refinement3_Edited;0.002808450162
209;Forest/Scrub;Refinement3_Edited;0.001282058872
210;Agricultural;Refinement3_Edited;0.009118998327
211;Forest/Scrub;Refinement3_Edited;0.01744460262
212;Buildings/Urban;Refinement3_Edited;0.0009352349513
213;Forest/Scrub;Refinement3_Edited;0.0004063055953
214;Agricultural;Refinement3_Edited;0.001289379693
215;Forest/Scrub;Refinement3_Edited;0.001028575426
216;Forest/Scrub;Refinement3_Edited;0.0003138802234
217;Forest/Scrub;Refinement3_Edited;0.0003788525145
218;Forest/Scrub;Refinement3_Edited;0.0001445862254
219;Agricultural;Refinement3_Edited;0.0003175406342
220;Agricultural;Refinement3_Edited;0.001795431482
221;Buildings/Urban;Refinement3_Edited;0.002910941664
222;Agricultural;Refinement3_Edited;7.686862614e-05
223;Agricultural;Refinement3_Edited;0.07282753265
224;Forest/Scrub;Refinement3_Edited;0.001802752303
225;Agricultural;Refinement3_Edited;0.04325415895
226;Forest/Scrub;Refinement3_Edited;0.0001564825603
227;Agricultural;Refinement3_Edited;0.005104442817
228;Buildings/Urban;Refinement3_Edited;0.002337172276
229;Forest/Scrub;Refinement3_Edited;0.0001226237607
230;Agricultural;Refinement3_Edited;0.001112764874
231;Agricultural;Refinement3_Edited;9.059516652e-05
232;Forest/Scrub;Refinement3_Edited;0.00233534207
233;Agricultural;Refinement3_Edited;0.007241207603
234;Forest/Scrub;Refinement3_Edited;0.0001436711227
235;Forest/Scrub;Refinement3_Edited;0.000517033021
236;Buildings/Urban;Refinement3_Edited;0.001616071354
237;Agricultural;Refinement3_Edited;0.0008098658825
238;Forest/Scrub;Refinement3_Edited;0.007119498945
239;Forest/Scrub;Refinement3_Edited;0.0002415871107
240;Agricultural;Refinement3_Edited;0.004786902182
241;Agricultural;Refinement3_Edited;0.009304764173
242;Agricultural;Refinement3_Edited;0.003065594019
243;Forest/Scrub;Refinement3_Edited;0.0007284217429
244;Buildings/Urban;Refinement3_Edited;0.002207227693
245;Agricultural;Refinement3_Edited;0.07523699804
246;Forest/Scrub;Refinement3_Edited;0.001767978401
247;Agricultural;Refinement3_Edited;0.002015056128
248;Agricultural;Refinement3_Edited;0.003157104288
249;Agricultural;Refinement3_Edited;0.0001756997169
250;Agricultural;Refinement3_Edited;0.00021413403
251;Agricultural;Refinement3_Edited;0.0002845969372
252;Roads/Railroad;Refinement3_Edited;0.006068961054
253;Forest/Scrub;Refinement3_Edited;0.0002562287538
254;Agricultural;Refinement3_Edited;0.1447
255;Forest/Scrub;Refinement3_Edited;0.0001766148196
256;Forest/Scrub;Refinement3_Edited;0.0004978158645
257;Buildings/Urban;Refinement3_Edited;0.003653089947
258;Agricultural;Refinement3_Edited;0.0001601429711
259;Forest/Scrub;Refinement3_Edited;0.001849422541
260;Roads/Railroad;Refinement3_Edited;6.497229114e-05
261;Forest/Scrub;Refinement3_Edited;0.00371531693
262;Buildings/Urban;Refinement3_Edited;0.0007860732125
263;Agricultural;Refinement3_Edited;0.004693561708
264;Forest/Scrub;Refinement3_Edited;0.01451261359
265;Forest/Scrub;Refinement3_Edited;0.0001372654038
266;Roads/Railroad;Refinement3_Edited;0.002091924754
267;Forest/Scrub;Refinement3_Edited;0.0007174405106
268;Agricultural;Refinement3_Edited;0.01026013138
269;Agricultural;Refinement3_Edited;0.0002443324188
270;Agricultural;Refinement3_Edited;0.0001958319761
271;Forest/Scrub;Refinement3_Edited;0.0004182019303
272;Forest/Scrub;Refinement3_Edited;0.0002196246461
273;Forest/Scrub;Refinement3_Edited;0.01622934624
274;Forest/Scrub;Refinement3_Edited;0.003378559139
275;Roads/Railroad;Refinement3_Edited;0.003503928208
276;Forest/Scrub;Refinement3_Edited;0.0006753457868
277;Forest/Scrub;Refinement3_Edited;0.0001482466361
278;Buildings/Urban;Refinement3_Edited;0.0006350812683
279;Forest/Scrub;Refinement3_Edited;0.007262254965
280;Forest/Scrub;Refinement3_Edited;0.02342296851
281;Forest/Scrub;Refinement3_Edited;0.003559749472
282;Forest/Scrub;Refinement3_Edited;7.595352344e-05
283;Forest/Scrub;Refinement3_Edited;0.001410173249
284;Forest/Scrub;Refinement3_Edited;0.004093254342
285;Forest/Scrub;Refinement3_Edited;0.00121342617
286;Agricultural;Refinement3_Edited;0.002295077552
287;Agricultural;Refinement3_Edited;0.009033893776
288;Forest/Scrub;Refinement3_Edited;0.0003202859422
289;Forest/Scrub;Refinement3_Edited;0.0004136264168
290;Agricultural;Refinement3_Edited;0.003189132882
291;Agricultural;Refinement3_Edited;0.01814008067
292;Agricultural;Refinement3_Edited;0.000936150054
293;Forest/Scrub;Refinement3_Edited;0.0001088972204
294;Agricultural;Refinement3_Edited;0.002990555598
295;Forest/Scrub;Refinement3_Edited;0.0001079821177
296;Buildings/Urban;Refinement3_Edited;0.001415663865
297;Forest/Scrub;Refinement3_Edited;0.002264879163
298;Buildings/Urban;Refinement3_Edited;0.00111825549
299;Forest/Scrub;Refinement3_Edited;0.0001034066042
300;Forest/Scrub;Refinement3_Edited;0.007714315694
301;Water;Refinement3_Edited;0.001909819318
302;Agricultural;Refinement3_Edited;0.0006103734956
303;Agricultural;Refinement3_Edited;0.003942262398
304;Agricultural;Refinement3_Edited;0.002717854996
305;Forest/Scrub;Refinement3_Edited;0.0008839892006
306;Forest/Scrub;Refinement3_Edited;0.005388124651
307;Agricultural;Refinement3_Edited;0.001194209013
308;Agricultural;Refinement3_Edited;0.0002113887219
309;Agricultural;Refinement3_Edited;0.01022444238
310;Forest/Scrub;Refinement3_Edited;0.01455104791
311;Forest/Scrub;Refinement3_Edited;0.2599
312;Agricultural;Refinement3_Edited;0.0003870884388
313;Forest/Scrub;Refinement3_Edited;0.00319187819
314;Roads/Railroad;Refinement3_Edited;0.006111970881
315;Buildings/Urban;Refinement3_Edited;0.003928535857
316;Forest/Scrub;Refinement3_Edited;0.004744807459
317;Forest/Scrub;Refinement3_Edited;6.771759922e-05
318;Forest/Scrub;Refinement3_Edited;0.001599599506
319;Forest/Scrub;Refinement3_Edited;0.0001756997169
320;Forest/Scrub;Refinement3_Edited;0.0002452475215
321;Agricultural;Refinement3_Edited;0.0004950705564
322;Forest/Scrub;Refinement3_Edited;0.005321322155
323;Agricultural;Refinement3_Edited;0.00800531835
324;Forest/Scrub;Refinement3_Edited;0.0002626344726
325;Forest/Scrub;Refinement3_Edited;0.0002452475215
326;Forest/Scrub;Refinement3_Edited;0.0006771759922
327;Agricultural;Refinement3_Edited;0.008145329062
328;Buildings/Urban;Refinement3_Edited;0.002728836228
329;Forest/Scrub;Refinement3_Edited;0.007781118191
330;Forest/Scrub;Refinement3_Edited;0.0002104736192
331;Agricultural;Refinement3_Edited;0.0001354351984
332;Forest/Scrub;Refinement3_Edited;9.791598805e-05
333;Agricultural;Refinement3_Edited;0.00342980489
334;Agricultural;Refinement3_Edited;0.0007357425644
335;Forest/Scrub;Refinement3_Edited;0.002468031961
336;Forest/Scrub;Refinement3_Edited;0.004134433963
337;Forest/Scrub;Refinement3_Edited;0.0001482466361
338;Agricultural;Refinement3_Edited;0.003159849596
339;Forest/Scrub;Refinement3_Edited;0.02971338441
340;Forest/Scrub;Refinement3_Edited;0.0005362501776
341;Buildings/Urban;Refinement3_Edited;0.0008986308436
342;Agricultural;Refinement3_Edited;0.01241153781
343;Forest/Scrub;Refinement3_Edited;0.0001354351984
344;Buildings/Urban;Refinement3_Edited;0.0009965468317
345;Forest/Scrub;Refinement3_Edited;0.005297529485
346;Forest/Scrub;Refinement3_Edited;0.0001400107119
347;Forest/Scrub;Refinement3_Edited;0.008414369254
348;Forest/Scrub;Refinement3_Edited;0.02410380491
349;Buildings/Urban;Refinement3_Edited;0.001670977516
350;Forest/Scrub;Refinement3_Edited;0.01123929126
351;Forest/Scrub;Refinement3_Edited;0.008022705302
352;Forest/Scrub;Refinement3_Edited;0.0002507381376
353;Agricultural;Refinement3_Edited;0.009685446893
354;Agricultural;Refinement3_Edited;0.00670312722
355;Forest/Scrub;Refinement3_Edited;0.0003276067638
356;Forest/Scrub;Refinement3_Edited;0.0001271992742
357;Agricultural;Refinement3_Edited;0.00392945096
358;Forest/Scrub;Refinement3_Edited;0.0001638033819
359;Forest/Scrub;Refinement3_Edited;0.06613813197
360;Forest/Scrub;Refinement3_Edited;0.0005280142533
361;Forest/Scrub;Refinement3_Edited;0.001223492299
362;Agricultural;Refinement3_Edited;0.002179774613
363;Forest/Scrub;Refinement3_Edited;0.005648013816
364;Forest/Scrub;Refinement3_Edited;0.0002415871107
365;Agricultural;Refinement3_Edited;0.01820047744
366;Forest/Scrub;Refinement3_Edited;0.02207227693
367;Forest/Scrub;Refinement3_Edited;0.001477890848
368;Agricultural;Refinement3_Edited;0.01626961076
369;Forest/Scrub;Refinement3_Edited;0.01029765059
370;Agricultural;Refinement3_Edited;0.0008309132444
371;Agricultural;Refinement3_Edited;0.0007933940341
372;Forest/Scrub;Refinement3_Edited;0.00135618219
373;Forest/Scrub;Refinement3_Edited;9.791598805e-05
374;Forest/Scrub;Refinement3_Edited;0.001131066927
375;Buildings/Urban;Refinement3_Edited;0.002181604818
376;Agricultural;Refinement3_Edited;0.008844467519
377;Agricultural;Refinement3_Edited;0.02428957076
378;Forest/Scrub;Refinement3_Edited;0.0007476388994
379;Agricultural;Refinement3_Edited;0.0001875960519
380;Agricultural;Refinement3_Edited;0.02308255031
381;Forest/Scrub;Refinement3_Edited;0.01656976445
382;Agricultural;Refinement3_Edited;0.01592370195
383;Roads/Railroad;Refinement3_Edited;0.002391163334
384;Agricultural;Refinement3_Edited;0.01130151825
385;Forest/Scrub;Refinement3_Edited;0.001732289396
386;Buildings/Urban;Refinement3_Edited;0.001172246549
387;Forest/Scrub;Refinement3_Edited;0.005918884213
388;Agricultural;Refinement3_Edited;0.001009358269
389;Forest/Scrub;Refinement3_Edited;0.0003541447418
390;Forest/Scrub;Refinement3_Edited;0.0003706165903
391;Agricultural;Refinement3_Edited;0.001961065069
392;Forest/Scrub;Refinement3_Edited;0.00160783543
393;Agricultural;Refinement3_Edited;0.02297639839
394;Agricultural;Refinement3_Edited;0.002407635183
395;Roads/Railroad;Refinement3_Edited;0.003438955917
396;Forest/Scrub;Refinement3_Edited;0.0002315209811
397;Buildings/Urban;Refinement3_Edited;5.399105883e-05
398;Forest/Scrub;Refinement3_Edited;0.005341454414
399;Agricultural;Refinement3_Edited;0.00806296982
400;Water;Refinement3_Edited;0.009267244963
401;Agricultural;Refinement3_Edited;0.008080356771
402;Forest/Scrub;Refinement3_Edited;0.0832112029
403;Agricultural;Refinement3_Edited;0.0001345200957
404;Forest/Scrub;Refinement3_Edited;0.001625222381
405;Forest/Scrub;Refinement3_Edited;0.0002077283111
406;Forest/Scrub;Refinement3_Edited;7.229311268e-05
407;Agricultural;Refinement3_Edited;0.168
408;Buildings/Urban;Refinement3_Edited;0.002759949719
409;Agricultural;Refinement3_Edited;0.003984357121
410;Buildings/Urban;Refinement3_Edited;0.0008547059144
411;Forest/Scrub;Refinement3_Edited;0.01898929596
412;Agricultural;Refinement3_Edited;0.03504111229
413;Forest/Scrub;Refinement3_Edited;0.001209765759
414;Agricultural;Refinement3_Edited;0.0175736321
415;Agricultural;Refinement3_Edited;0.0002699552942
416;Agricultural;Refinement3_Edited;0.02884952747
417;Agricultural;Refinement3_Edited;0.0003751921038
418;Forest/Scrub;Refinement3_Edited;0.0008245075256
419;Agricultural;Refinement3_Edited;0.003139717337
420;Buildings/Urban;Refinement3_Edited;0.0006991384568
421;Agricultural;Refinement3_Edited;0.003944092603
422;Forest/Scrub;Refinement3_Edited;0.002457050728
423;Forest/Scrub;Refinement3_Edited;0.111
424;Forest/Scrub;Refinement3_Edited;0.01346573611
425;Forest/Scrub;Refinement3_Edited;5.490616153e-05
426;Forest/Scrub;Refinement3_Edited;0.000826337731
427;Forest/Scrub;Refinement3_Edited;0.0004008149791
428;Agricultural;Refinement3_Edited;0.0005472314099
429;Forest/Scrub;Refinement3_Edited;0.0006542984249
430;Buildings/Urban;Refinement3_Edited;0.001842101719
431;Buildings/Urban;Refinement3_Edited;0.0005728542853
432;Forest/Scrub;Refinement3_Edited;0.0002004074896
433;Buildings/Urban;Refinement3_Edited;0.003244954146
434;Agricultural;Refinement3_Edited;0.02278056642
435;Agricultural;Refinement3_Edited;0.0008519606063
436;Agricultural;Refinement3_Edited;0.07905389137
437;Forest/Scrub;Refinement3_Edited;0.0004337586761
438;Forest/Scrub;Refinement3_Edited;0.000502391378
439;Agricultural;Refinement3_Edited;0.0002635495753
440;Roads/Railroad;Refinement3_Edited;0.004171953173
441;Buildings/Urban;Refinement3_Edited;0.006765354203
442;Forest/Scrub;Refinement3_Edited;8.876496113e-05
443;Buildings/Urban;Refinement3_Edited;8.968006383e-05
444;Forest/Scrub;Refinement3_Edited;0.0005005611726
445;Agricultural;Refinement3_Edited;0.0002196246461
446;Agricultural;Refinement3_Edited;0.0006698551706
447;Forest/Scrub;Refinement3_Edited;0.1006494
448;Buildings/Urban;Refinement3_Edited;0.001351606676
449;Forest/Scrub;Refinement3_Edited;0.002086434138
450;Agricultural;Refinement3_Edited;0.1996324
451;Agricultural;Refinement3_Edited;0.0001290294796
452;Agricultural;Refinement3_Edited;0.00218892564
453;Agricultural;Refinement3_Edited;0.001009358269
454;Buildings/Urban;Refinement3_Edited;0.0007952242394
455;Agricultural;Refinement3_Edited;0.05175820827
