name,Label,Gender,MentionCount,Type,BookID,Location,EventID,X_Coord,Y_Coord,Z_Coord,PersonID
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_10,I,they/them/their,66,Occurrence,Pariente_Fanny_5020_Plateau,Les Grillons,EVT_Pariente_Fanny_5020_Plateau_10,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau_0
Pariente_Fanny_5020_Plateau_45,we,unknown,3,Person,Pariente_Fanny_5020_Plateau,,,,,,Pariente_Fanny_5020_Plateau_45
Pariente_Fanny_5020_Plateau_45@EVT_Pariente_Fanny_5020_Plateau_10,we,unknown,3,Occurrence,Pariente_Fanny_5020_Plateau,Les Grillons,EVT_Pariente_Fanny_5020_Plateau_10,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau_45
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_11,I,they/them/their,66,Occurrence,Pariente_Fanny_5020_Plateau,Les Grillons,EVT_Pariente_Fanny_5020_Plateau_11,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau_0
Pariente_Fanny_5020_Plateau_47,too many boys,they/them/their,2,Person,Pariente_Fanny_5020_Plateau,,,,,,Pariente_Fanny_5020_Plateau_47
Pariente_Fanny_5020_Plateau_47@EVT_Pariente_Fanny_5020_Plateau_11,too many boys,they/them/their,2,Occurrence,Pariente_Fanny_5020_Plateau,Les Grillons,EVT_Pariente_Fanny_5020_Plateau_11,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau_47
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_12,I,they/them/their,66,Occurrence,Pariente_Fanny_5020_Plateau,Le Chambon-sur-Lignon,EVT_Pariente_Fanny_5020_Plateau_12,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau_0
Pariente_Fanny_5020_Plateau_50,they,,0,Person,Pariente_Fanny_5020_Plateau,,,,,,Pariente_Fanny_5020_Plateau_50
Pariente_Fanny_5020_Plateau_50@EVT_Pariente_Fanny_5020_Plateau_12,they,,0,Occurrence,Pariente_Fanny_5020_Plateau,Le Chambon-sur-Lignon,EVT_Pariente_Fanny_5020_Plateau_12,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau_50
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_13,I,they/them/their,66,Occurrence,Pariente_Fanny_5020_Plateau,Le Chambon-sur-Lignon,EVT_Pariente_Fanny_5020_Plateau_13,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau_0
Pariente_Fanny_5020_Plateau_50@EVT_Pariente_Fanny_5020_Plateau_13,they,,0,Occurrence,Pariente_Fanny_5020_Plateau,Le Chambon-sur-Lignon,EVT_Pariente_Fanny_5020_Plateau_13,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau_50
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_14,I,they/them/their,66,Occurrence,Pariente_Fanny_5020_Plateau,Le Chambon-sur-Lignon,EVT_Pariente_Fanny_5020_Plateau_14,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau_0
Pariente_Fanny_5020_Plateau_52,You,,0,Person,Pariente_Fanny_5020_Plateau,,,,,,Pariente_Fanny_5020_Plateau_52
Pariente_Fanny_5020_Plateau_52@EVT_Pariente_Fanny_5020_Plateau_14,You,,0,Occurrence,Pariente_Fanny_5020_Plateau,Le Chambon-sur-Lignon,EVT_Pariente_Fanny_5020_Plateau_14,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau_52
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_15,I,they/them/their,66,Occurrence,Pariente_Fanny_5020_Plateau,Le Chambon-sur-Lignon,EVT_Pariente_Fanny_5020_Plateau_15,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau_0
Pariente_Fanny_5020_Plateau_52@EVT_Pariente_Fanny_5020_Plateau_15,You,,0,Occurrence,Pariente_Fanny_5020_Plateau,Le Chambon-sur-Lignon,EVT_Pariente_Fanny_5020_Plateau_15,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau_52
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_16,I,they/them/their,66,Occurrence,Pariente_Fanny_5020_Plateau,Le Chambon-sur-Lignon,EVT_Pariente_Fanny_5020_Plateau_16,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau_0
Pariente_Fanny_5020_Plateau_53,people,,0,Person,Pariente_Fanny_5020_Plateau,,,,,,Pariente_Fanny_5020_Plateau_53
Pariente_Fanny_5020_Plateau_53@EVT_Pariente_Fanny_5020_Plateau_16,people,,0,Occurrence,Pariente_Fanny_5020_Plateau,Le Chambon-sur-Lignon,EVT_Pariente_Fanny_5020_Plateau_16,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau_53
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_17,I,they/them/their,66,Occurrence,Pariente_Fanny_5020_Plateau,Le Chambon-sur-Lignon,EVT_Pariente_Fanny_5020_Plateau_17,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau_0
Pariente_Fanny_5020_Plateau_53@EVT_Pariente_Fanny_5020_Plateau_17,people,,0,Occurrence,Pariente_Fanny_5020_Plateau,Le Chambon-sur-Lignon,EVT_Pariente_Fanny_5020_Plateau_17,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau_53
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_18,I,they/them/their,66,Occurrence,Pariente_Fanny_5020_Plateau,Le Chambon-sur-Lignon,EVT_Pariente_Fanny_5020_Plateau_18,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau_0
Pariente_Fanny_5020_Plateau_54,Jewish persons,,0,Person,Pariente_Fanny_5020_Plateau,,,,,,Pariente_Fanny_5020_Plateau_54
