Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
Schames_Esther_26441_Plateau_31@EVT_Schames_Esther_26441_Plateau_5,LOC_Le_Chambon-sur-Lignon,at-location,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_30@EVT_Schames_Esther_26441_Plateau_6,LOC_Le_Chambon-sur-Lignon,at-location,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_31@EVT_Schames_Esther_26441_Plateau_6,LOC_Le_Chambon-sur-Lignon,at-location,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_24@EVT_Schames_Esther_26441_Plateau_7,LOC_Le_Chambon-sur-Lignon,at-location,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_0@EVT_Schames_Esther_26441_Plateau_7,LOC_Le_Chambon-sur-Lignon,at-location,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_0@EVT_Schames_Esther_26441_Plateau_1,Schames_Esther_26441_Plateau_0@EVT_Schames_Esther_26441_Plateau_2,appearance-sequence,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_0@EVT_Schames_Esther_26441_Plateau_2,Schames_Esther_26441_Plateau_0@EVT_Schames_Esther_26441_Plateau_3,appearance-sequence,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_0@EVT_Schames_Esther_26441_Plateau_3,Schames_Esther_26441_Plateau_0@EVT_Schames_Esther_26441_Plateau_7,appearance-sequence,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_24@EVT_Schames_Esther_26441_Plateau_1,Schames_Esther_26441_Plateau_24@EVT_Schames_Esther_26441_Plateau_4,appearance-sequence,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_24@EVT_Schames_Esther_26441_Plateau_4,Schames_Esther_26441_Plateau_24@EVT_Schames_Esther_26441_Plateau_5,appearance-sequence,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_24@EVT_Schames_Esther_26441_Plateau_5,Schames_Esther_26441_Plateau_24@EVT_Schames_Esther_26441_Plateau_7,appearance-sequence,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_30@EVT_Schames_Esther_26441_Plateau_2,Schames_Esther_26441_Plateau_30@EVT_Schames_Esther_26441_Plateau_4,appearance-sequence,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_30@EVT_Schames_Esther_26441_Plateau_4,Schames_Esther_26441_Plateau_30@EVT_Schames_Esther_26441_Plateau_6,appearance-sequence,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_31@EVT_Schames_Esther_26441_Plateau_3,Schames_Esther_26441_Plateau_31@EVT_Schames_Esther_26441_Plateau_5,appearance-sequence,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_31@EVT_Schames_Esther_26441_Plateau_5,Schames_Esther_26441_Plateau_31@EVT_Schames_Esther_26441_Plateau_6,appearance-sequence,,,,,,,,,,,,,,,,
